Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	Entry		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN		All_Pathways		ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
ALDOA_MOUSE	Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2	39 kDa	0.27	P05064		8.6143	11.252	4.3856	3.4941	4.4859	6.4464	3.9313	11.252	4.3856	2.3367	5.4764	5.6853	2.7968	3.0304	1.2245	3.1843	3.2597	2.3959	2.6749	2.7768		Glycolysis									Glycolysis						
ANXA7_MOUSE	Annexin A7 OS=Mus musculus GN=Anxa7 PE=2 SV=2	50 kDa	0.27	Q07076		1.9143	2.5966	4.3856	0	2.243	2.2279	0	2.5966	4.3856	0	1.7456	0	0.9323	1.0101	0	0.4856	0	0.7987	0.8917	0.5634																	
BCAM_MOUSE	Basal cell adhesion molecule OS=Mus musculus GN=Bcam PE=2 SV=1	68 kDa	0.27	Q9R069		1.9143	0	1.0964	0	1.1215	0.8264	1.9657	0	1.0964	0	0.7655	0.9476	0.9323	1.0101	3.6735	1.6409	3.2597	2.3959	0.8917	2.1824																	
FERM2_MOUSE	Fermitin family homolog 2 OS=Mus musculus GN=Fermt2 PE=1 SV=1	78 kDa	0.27	Q8CIB5		5.7428	6.0587	4.3856	5.8235	2.243	4.8507	7.8627	6.0587	4.3856	0	4.5768	10.423	11.187	6.0608	6.1225	8.4483	11.409	5.5905	2.6749	6.5581																	
HS90A_MOUSE	Heat shock protein HSP 90-alpha OS=Mus musculus GN=Hsp90aa1 PE=1 SV=4	85 kDa	0.27	P07901		16.271	12.983	15.35	15.141	12.336	14.4162	18.674	12.983	15.35	0	11.7518	12.318	18.645	18.183	24.49	18.409	11.409	13.577	11.591	12.1923																	
KAD1_MOUSE	Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1	22 kDa	0.27	Q9R0Y5		4.7857	6.0587	2.1928	3.4941	5.6074	4.4277	0	6.0587	2.1928	0	2.0629	2.8426	5.5935	7.071	4.898	5.1013	5.7044	0.7987	4.4582	3.6538		De_Novo_Purine_Biosynthesis						De_Novo_Purine_Biosynthesis									
MYO1C_MOUSE	Unconventional myosin-Ic OS=Mus musculus GN=Myo1c PE=1 SV=2	122 kDa	0.27	Q9WTI7		6.7	7.7897	6.5785	6.9882	1.1215	5.8356	5.897	7.7897	6.5785	3.5051	5.9426	6.6328	4.6613	6.0608	1.2245	4.6449	13.039	9.5838	4.4582	9.027																	
TCPB_MOUSE	T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4	57 kDa	0.27	P80314		0.9571	5.1931	3.2892	2.3294	3.3644	3.0266	0.9828	5.1931	3.2892	2.3367	2.9505	5.6853	3.729	3.0304	2.449	3.7234	0.8149	1.5973	1.7833	1.3985																	
CALR_MOUSE	Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1	48 kDa	0.28	P14211		0	0	0	0	0	0	7.8627	0	0	1.1684	2.2578	0	0	0	0	0	0	0	0	0																	
FBLN2_MOUSE	Fibulin-2 OS=Mus musculus GN=Fbln2 PE=1 SV=2	132 kDa	0.28	P37889		0.9571	0	0	0	2.243	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
HSP72_MOUSE	Heat shock-related 70 kDa protein 2 OS=Mus musculus GN=Hspa2 PE=1 SV=2	70 kDa	0.28	P17156		27.757	26.831	26.314	29.117	20.187	26.0412	15.725	26.831	26.314	29.209	24.5198	26.531	28.9	24.243	35.51	28.796	22.818	24.758	17.833	21.803		Parkinson													Parkinson		
MLRV_MOUSE	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Mus musculus GN=Myl2 PE=1 SV=3	19 kDa	0.28	P51667		0.9571	0	0	0	0	0.1914	0	0	0	0	0	0	0	0	0	0	4.8895	0	0	1.6298																	
PRDX5_MOUSE	Peroxiredoxin-5, mitochondrial OS=Mus musculus GN=Prdx5 PE=1 SV=2	22 kDa	0.28	P99029		4.7857	7.7897	2.1928	2.3294	10.093	5.4381	1.9657	7.7897	2.1928	3.5051	3.8633	9.4755	9.3226	7.071	6.1225	7.9979	4.8895	3.9932	9.8081	6.2303																	
VAT1_MOUSE	Synaptic vesicle membrane protein VAT-1 homolog OS=Mus musculus GN=Vat1 PE=1 SV=3	43 kDa	0.28	Q62465		0.9571	2.5966	2.1928	0	3.3644	1.8222	0.9828	2.5966	2.1928	0	1.4431	1.8951	2.7968	3.0304	3.6735	2.849	2.4448	0.7987	0.8917	1.3784		Huntington										Huntington					
ACON_MOUSE	Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1	85 kDa	0.29	Q99KI0		16.271	12.983	15.35	12.812	14.579	14.399	8.8455	12.983	15.35	0	9.2946	18.003	23.306	8.0811	14.694	16.021	16.298	11.181	8.0248	11.8346		TCA_Cycle															TCA_Cycle
CAH1_MOUSE	Carbonic anhydrase 1 OS=Mus musculus GN=Ca1 PE=2 SV=4	28 kDa	0.29	P13634		0	0.8655	1.0964	0	0	0.3924	0	0.8655	1.0964	0	0.4905	0	0	0	0	0	0	0	0	0																	
EF2_MOUSE	Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2	95 kDa	0.29	P58252		9.5714	7.7897	8.7713	10.482	4.4859	8.2201	7.8627	7.7897	8.7713	0	6.1059	7.5804	3.729	9.0913	13.469	8.4674	11.409	13.577	8.9165	11.3008																	
GCYA3_MOUSE	Guanylate cyclase soluble subunit alpha-3 OS=Mus musculus GN=Gucy1a3 PE=2 SV=2	78 kDa	0.29	Q9ERL9		0	0	0	0	1.1215	0.2243	0	0	0	0	0	0.9476	3.729	0	0	1.1691	0	0	0	0																	
PARVA_MOUSE	Alpha-parvin OS=Mus musculus GN=Parva PE=1 SV=1	42 kDa	0.29	Q9EPC1		2.8714	1.731	2.1928	2.3294	0	1.8249	0	1.731	2.1928	0	0.981	2.8426	3.729	4.0406	0	2.6531	1.6298	0.7987	0.8917	1.1067		Integrin											Integrin				
VIME_MOUSE	Vimentin OS=Mus musculus GN=Vim PE=1 SV=3	54 kDa	0.29	P20152		354.14	349.67	336.6	368.04	337.57	349.204	903.22	349.67	336.6	431.12	505.1525	356.28	343.07	325.26	372.25	349.215	307.22	348.21	351.31	335.58																	
NDUAD_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Mus musculus GN=Ndufa13 PE=1 SV=3	17 kDa	0.3	Q9ERS2		0	0	0	0	1.1215	0.2243	0	0	0	1.1684	0.2921	0.9476	2.7968	0	1.2245	1.2422	1.6298	0	0	0.5433																	
TCPD_MOUSE	T-complex protein 1 subunit delta OS=Mus musculus GN=Cct4 PE=1 SV=3	58 kDa	0.3	P80315		0.9571	1.731	2.1928	0	0	0.9762	0	1.731	2.1928	0	0.981	0	0.9323	0	0	0.2331	0	0	0	0																	
2AAA_MOUSE	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus GN=Ppp2r1a PE=1 SV=3	65 kDa	0.31	Q76MZ3		1.9143	2.5966	2.1928	0	0	1.3407	1.9657	2.5966	2.1928	7.0101	3.4413	0.9476	3.729	3.0304	2.449	2.539	3.2597	2.3959	0.8917	2.1824		FGF								FGF							
KCC2D_MOUSE	Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus GN=Camk2d PE=1 SV=1	56 kDa	0.31	Q6PHZ2		1.9143	2.5966	0	0	1.1215	1.1265	0	2.5966	0	0	0.6492	0.9476	1.8645	3.0304	1.2245	1.7667	0.8149	0	0	0.2716		Chemokine_Cytokine_Signaling				Chemokine_Cytokine_Signaling											
LMNA_MOUSE	Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2	74 kDa	0.31	P48678		48.814	48.469	39.471	39.6	31.401	41.551	145.46	48.469	39.471	29.209	65.6523	34.112	32.629	25.253	30.612	30.6515	37.486	29.55	32.991	33.3423																	
MYH9_MOUSE	Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4	226 kDa	0.31	Q8VDD5		65.086	56.259	77.845	80.364	56.074	67.1256	59.953	56.259	77.845	51.408	61.3663	66.328	74.58	74.75	75.918	72.894	70.083	71.878	74.898	72.2863		Chemokine_Cytokine_Signaling, Cytoskeleton, Nicotinic_Acetylcholine				Chemokine_Cytokine_Signaling	Cytoskeleton							Nicotinic_Acetylcholine			
NDUV2_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus GN=Ndufv2 PE=1 SV=2	27 kDa	0.31	Q9D6J6		0	0	0	0	0	0	0	0	0	0	0	1.8951	0	0	0	0.4738	0	0.7987	0.8917	0.5634		Parkinson													Parkinson		
PDLI7_MOUSE	PDZ and LIM domain protein 7 OS=Mus musculus GN=Pdlim7 PE=2 SV=1	50 kDa	0.31	Q3TJD7		4.7857	6.0587	3.2892	4.6588	6.7289	5.1043	0	6.0587	3.2892	2.3367	2.9212	4.7377	5.5935	4.0406	1.2245	3.8991	4.8895	3.9932	6.2415	5.0414																	
TAGL2_MOUSE	Transgelin-2 OS=Mus musculus GN=Tagln2 PE=1 SV=4	22 kDa	0.31	Q9WVA4		39.243	46.738	43.856	51.246	87.476	53.7118	35.382	46.738	43.856	38.556	41.133	53.063	55.003	74.75	69.796	63.153	78.232	30.349	70.44	59.6737																	
TCPE_MOUSE	T-complex protein 1 subunit epsilon OS=Mus musculus GN=Cct5 PE=1 SV=1	60 kDa	0.31	P80316		0	0	1.0964	1.1647	0	0.4522	0.9828	0	1.0964	2.3367	1.104	1.8951	0.9323	2.0203	0	1.2119	0.8149	0	0	0.2716																	
ATP5I_MOUSE	ATP synthase subunit e, mitochondrial OS=Mus musculus GN=Atp5i PE=1 SV=2	8 kDa	0.32	Q06185		0.9571	0.8655	1.0964	1.1647	1.1215	1.0411	1.9657	0.8655	1.0964	1.1684	1.274	0.9476	1.8645	2.0203	1.2245	1.5142	0.8149	2.3959	1.7833	1.6647																	
PSA7_MOUSE	Proteasome subunit alpha type-7 OS=Mus musculus GN=Psma7 PE=1 SV=1	28 kDa	0.32	Q9Z2U0		3.8286	0.8655	1.0964	1.1647	1.1215	1.6153	0	0.8655	1.0964	0	0.4905	1.8951	2.7968	0	1.2245	1.4791	1.6298	3.9932	0.8917	2.1716		Parkinson													Parkinson		
SRSF2_MOUSE	Serine/arginine-rich splicing factor 2 OS=Mus musculus GN=Srsf2 PE=1 SV=4	25 kDa	0.32	Q62093		1.9143	1.731	0	0	1.1215	0.9534	0	1.731	0	0	0.4328	0	0	0	0	0	1.6298	0.7987	0	0.8095																	
STIP1_MOUSE	Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1	63 kDa	0.32	Q60864		1.9143	0.8655	0	2.3294	0	1.0218	0	0.8655	0	1.1684	0.5085	2.8426	1.8645	4.0406	0	2.1869	3.2597	1.5973	0	1.619																	
ACADL_MOUSE	Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2	48 kDa	0.33	P51174		0	0	0	0	1.1215	0.2243	0	0	0	1.1684	0.2921	0	0.9323	0	0	0.2331	0.8149	0.7987	0.8917	0.8351																	
COX41_MOUSE	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Mus musculus GN=Cox4i1 PE=1 SV=2	20 kDa	0.33	P19783		1.9143	1.731	2.1928	2.3294	2.243	2.0821	0.9828	1.731	2.1928	2.3367	1.8108	1.8951	0.9323	2.0203	0	1.2119	2.4448	0.7987	1.7833	1.6756																	
DPP3_MOUSE	Dipeptidyl peptidase 3 OS=Mus musculus GN=Dpp3 PE=2 SV=2	83 kDa	0.33	Q99KK7		0	0	0	0	0	0	0.9828	0	0	0	0.2457	0	1.8645	2.0203	0	0.9712	2.4448	0	0	0.8149																	
H13_MOUSE	Histone H1.3 OS=Mus musculus GN=Hist1h1d PE=1 SV=2	22 kDa	0.33	P43277		0.9571	0	0	0	1.1215	0.4157	0	0	0	4.6734	1.1684	0	0	0	0	0	0.8149	2.3959	1.7833	1.6647																	
HNRPF_MOUSE	Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus GN=Hnrnpf PE=1 SV=3	46 kDa	0.33	Q9Z2X1		0.9571	1.731	0	0	1.1215	0.7619	0.9828	1.731	0	0	0.6785	2.8426	1.8645	2.0203	0	1.6819	1.6298	1.5973	0.8917	1.3729																	
LAMC1_MOUSE	Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=1 SV=2	177 kDa	0.33	P02468		0.9571	1.731	3.2892	0	1.1215	1.4198	0.9828	1.731	3.2892	0	1.5008	0.9476	0	0	0	0.2369	0.8149	1.5973	0	0.8041																	
SGCD_MOUSE	Delta-sarcoglycan OS=Mus musculus GN=Sgcd PE=1 SV=1	32 kDa	0.33	P82347		2.8714	2.5966	6.5785	1.1647	3.3644	3.3151	0	2.5966	6.5785	0	2.2938	1.8951	0.9323	1.0101	0	0.9594	6.5194	4.7919	0.8917	4.0677																	
VPS35_MOUSE	Vacuolar protein sorting-associated protein 35 OS=Mus musculus GN=Vps35 PE=1 SV=1	92 kDa	0.33	Q9EQH3		0	0.8655	1.0964	0	0	0.3924	0.9828	0.8655	1.0964	0	0.7362	1.8951	1.8645	1.0101	0	1.1924	0.8149	0.7987	0	0.5379																	
DYHC1_MOUSE	Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2	532 kDa	0.34	Q9JHU4		0.9571	3.4621	2.1928	2.3294	0	1.7883	0	3.4621	2.1928	0	1.4137	0.9476	0	0	0	0.2369	2.4448	0.7987	0.8917	1.3784		Huntington										Huntington					
MYL3_MOUSE	Myosin light chain 3 OS=Mus musculus GN=Myl3 PE=1 SV=4	22 kDa	0.34	P09542		7.6571	4.3276	2.1928	6.9882	8.9719	6.0275	5.897	4.3276	2.1928	9.3469	5.4411	15.161	6.5258	12.122	3.6735	9.3706	11.409	7.9865	7.1332	8.8429																	
ODP2_MOUSE	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2	68 kDa	0.34	Q8BMF4		0.9571	0.8655	0	1.1647	0	0.5975	0	0.8655	0	0	0.2164	0.9476	2.7968	0	1.2245	1.2422	1.6298	0.7987	0	0.8095																	
PLST_MOUSE	Plastin-3 OS=Mus musculus GN=Pls3 PE=1 SV=3	71 kDa	0.34	Q99K51		10.529	7.7897	9.8677	11.647	7.8504	9.5368	5.897	7.7897	9.8677	11.684	8.8096	14.213	13.052	6.0608	13.469	11.6987	12.224	11.181	10.7	11.3683																	
PSA5_MOUSE	Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1	26 kDa	0.34	Q9Z2U1		0.9571	2.5966	1.0964	0	0	0.93	0	2.5966	1.0964	0	0.9233	0	0	0	0	0	0.8149	1.5973	0.8917	1.1013		Parkinson													Parkinson		
ALBU_MOUSE	Serum albumin OS=Mus musculus GN=Alb PE=1 SV=3	69 kDa	0.35	P07724		123.47	90.014	111.83	90.846	97.569	102.7458	92.386	90.014	111.83	169.41	115.91	103.28	131.45	97.984	118.78	112.8735	84.752	103.03	69.548	85.7767																	
ATPB_MOUSE	ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2	56 kDa	0.35	P56480		39.243	41.545	46.049	41.929	41.495	42.0522	60.936	41.545	46.049	26.872	43.8505	42.64	43.816	43.436	45.306	43.7995	30.967	35.14	37.449	34.5187		ATP_Synthesis		ATP_Synthesis													
RLA0_MOUSE	60S acidic ribosomal protein P0 OS=Mus musculus GN=Rplp0 PE=1 SV=3	34 kDa	0.35	P14869		1.9143	1.731	3.2892	2.3294	4.4859	2.75	0.9828	1.731	3.2892	1.1684	1.7929	2.8426	1.8645	2.0203	1.2245	1.988	2.4448	3.1946	2.6749	2.7714																	
S10AB_MOUSE	Protein S100-A11 OS=Mus musculus GN=S100a11 PE=2 SV=1	11 kDa	0.35	P50543		2.8714	4.3276	3.2892	1.1647	5.6074	3.4521	3.9313	4.3276	3.2892	3.5051	3.7633	2.8426	4.6613	5.0507	2.449	3.7509	0	2.3959	3.5666	1.9875																	
ASPN_MOUSE	Asporin OS=Mus musculus GN=Aspn PE=1 SV=1	43 kDa	0.36	Q99MQ4		0	0	0	0	0	0	18.674	0	0	1.1684	4.9606	0	0	0	0	0	0	0	0	0																	
AT5F1_MOUSE	ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus GN=Atp5f1 PE=1 SV=1	29 kDa	0.36	Q9CQQ7		1.9143	3.4621	0	4.6588	3.3644	2.6799	0	3.4621	0	1.1684	1.1576	0	0	1.0101	2.449	0.8648	3.2597	3.1946	0	2.1514																	
CA2D1_MOUSE	Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Mus musculus GN=Cacna2d1 PE=1 SV=1	125 kDa	0.36	O08532		0.9571	0.8655	1.0964	0	0	0.5838	0	0.8655	1.0964	2.3367	1.0747	0	0	0	1.2245	0.3061	1.6298	2.3959	0	1.3419																	
FBLI1_MOUSE	Filamin-binding LIM protein 1 OS=Mus musculus GN=Fblim1 PE=1 SV=2	41 kDa	0.37	Q71FD7		12.443	9.5207	8.7713	0	11.215	8.39	5.897	9.5207	8.7713	1.1684	6.3394	8.5279	1.8645	11.112	2.449	5.9884	13.854	10.382	9.8081	11.348																	
GRP78_MOUSE	78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3	72 kDa	0.37	P20029		28.714	26.831	29.603	27.953	21.308	26.8818	29.485	26.831	29.603	8.1785	23.5244	25.584	30.764	21.213	33.061	27.6555	21.188	22.362	16.05	19.8667		Parkinson													Parkinson		
HSPB1_MOUSE	Heat shock protein beta-1 OS=Mus musculus GN=Hspb1 PE=1 SV=3	23 kDa	0.37	P14602		8.6143	11.252	9.8677	8.1528	15.701	10.7176	4.9142	11.252	9.8677	9.3469	8.8452	6.6328	9.3226	9.0913	14.694	9.9352	11.409	15.973	11.591	12.991																	
PPIA_MOUSE	Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus GN=Ppia PE=1 SV=2	18 kDa	0.37	P17742		19.143	29.428	15.35	23.294	41.495	25.742	17.691	29.428	15.35	39.724	25.5483	36.954	35.426	31.314	40.408	36.0255	41.561	17.57	40.124	33.085																	
RAC1_MOUSE	Ras-related C3 botulinum toxin substrate 1 OS=Mus musculus GN=Rac1 PE=1 SV=1	21 kDa	0.37	P63001		0.9571	2.5966	1.0964	2.3294	2.243	1.8445	0	2.5966	1.0964	0	0.9233	0.9476	0.9323	2.0203	0	0.975	1.6298	0.7987	3.5666	1.9984		Chemokine_Cytokine_Signaling, Cytoskeleton, EGF, FGF, Huntington, Integrin				Chemokine_Cytokine_Signaling	Cytoskeleton		EGF	FGF		Huntington	Integrin				
ROA1_MOUSE	Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=2	34 kDa	0.37	P49312		0	0	0	0	0	0	0	0	0	0	0	0.9476	0	0	0	0.2369	1.6298	0	0	0.5433																	
SPB6_MOUSE	Serpin B6 OS=Mus musculus GN=Serpinb6 PE=2 SV=1	43 kDa	0.37	Q60854		7.6571	8.6552	3.2892	2.3294	6.7289	5.732	0	8.6552	3.2892	5.8418	4.4466	6.6328	2.7968	7.071	0	4.1252	7.3343	9.5838	7.1332	8.0171																	
UB2V1_MOUSE	Ubiquitin-conjugating enzyme E2 variant 1 OS=Mus musculus GN=Ube2v1 PE=1 SV=1	16 kDa	0.37	Q9CZY3		0	0	0	0	0	0	0	0	0	1.1684	0.2921	1.8951	0	1.0101	0	0.7263	0	0	0.8917	0.2972																	
CRIP2_MOUSE	Cysteine-rich protein 2 OS=Mus musculus GN=Crip2 PE=1 SV=1	23 kDa	0.38	Q9DCT8		0	2.5966	0	2.3294	0	0.9852	0	2.5966	0	0	0.6492	1.8951	0	2.0203	0	0.9789	2.4448	2.3959	1.7833	2.208																	
CSRP2_MOUSE	Cysteine and glycine-rich protein 2 OS=Mus musculus GN=Csrp2 PE=1 SV=3	21 kDa	0.38	P97314		4.7857	4.3276	3.2892	2.3294	12.336	5.4136	6.8798	4.3276	3.2892	2.3367	4.2083	5.6853	4.6613	9.0913	8.5714	7.0023	10.594	3.9932	9.8081	8.1318																	
CX7A2_MOUSE	Cytochrome c oxidase subunit 7A2, mitochondrial OS=Mus musculus GN=Cox7a2 PE=1 SV=2	9 kDa	0.38	P48771		0.9571	0	0	0	2.243	0.64	0.9828	0	0	1.1684	0.5378	0	0	0	0	0	0	0	0	0																	
COX2_MOUSE	Cytochrome c oxidase subunit 2 OS=Mus musculus GN=Mtco2 PE=1 SV=1	26 kDa	0.39	P00405		0	2.5966	2.1928	2.3294	2.243	1.8724	0	2.5966	2.1928	1.1684	1.4895	2.8426	3.729	2.0203	2.449	2.7602	2.4448	2.3959	0	1.6136																	
EMAL2_MOUSE	Echinoderm microtubule-associated protein-like 2 OS=Mus musculus GN=Eml2 PE=2 SV=1	71 kDa	0.39	Q7TNG5		0	0.8655	1.0964	0	0	0.3924	0	0.8655	1.0964	1.1684	0.7826	2.8426	2.7968	0	0	1.4099	2.4448	2.3959	0	1.6136																	
ACO13_MOUSE	Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1	15 kDa	0.4	Q9CQR4		0	0	0	0	0	0	0	0	0	1.1684	0.2921	0	0	0	0	0	1.6298	0	0	0.5433																	
FUMH_MOUSE	Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3	54 kDa	0.4	P97807		1.9143	0	1.0964	0	0	0.6021	0	0	1.0964	0	0.2741	0	0	0	0	0	1.6298	0.7987	0	0.8095		TCA_Cycle															TCA_Cycle
H2A2B_MOUSE	Histone H2A type 2-B OS=Mus musculus GN=Hist2h2ab PE=1 SV=3	14 kDa	0.4	Q64522		0	0	0	0	0	0	0	0	0	36.219	9.0548	22.741	18.645	0	0	10.3465	0	0	0	0																	
HNRH1_MOUSE	Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus GN=Hnrnph1 PE=1 SV=3	49 kDa	0.4	O35737		1.9143	3.4621	2.1928	3.4941	1.1215	2.437	1.9657	3.4621	2.1928	2.3367	2.4893	2.8426	2.7968	2.0203	2.449	2.5272	1.6298	1.5973	1.7833	1.6701																	
K1C19_MOUSE	Keratin, type I cytoskeletal 19 OS=Mus musculus GN=Krt19 PE=1 SV=1	45 kDa	0.4	P19001		2.8714	10.386	1.0964	20.964	0	7.0636	5.897	10.386	1.0964	5.8418	5.8053	7.5804	0	15.152	15.918	9.6626	0	2.3959	0	0.7986																	
LAMB2_MOUSE	Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=2 SV=2	197 kDa	0.4	Q61292		0.9571	0	1.0964	0	0	0.4107	1.9657	0	1.0964	0	0.7655	0	0	0	0	0	0	0	0.8917	0.2972		Integrin											Integrin				
LDHB_MOUSE	L-lactate dehydrogenase B chain OS=Mus musculus GN=Ldhb PE=1 SV=2	37 kDa	0.4	P16125		3.8286	0.8655	2.1928	1.1647	4.4859	2.5075	0.9828	0.8655	2.1928	3.5051	1.8866	1.8951	0.9323	1.0101	0	0.9594	2.4448	2.3959	0	1.6136																	
NLTP_MOUSE	Non-specific lipid-transfer protein OS=Mus musculus GN=Scp2 PE=1 SV=3	59 kDa	0.4	P32020		0	0.8655	0	0	1.1215	0.3974	0	0.8655	0	0	0.2164	0	0	0	0	0	0	0	0	0																	
ACTG_MOUSE	Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1	42 kDa	0.41	P63260		356.06	334.09	332.21	255.07	344.29	324.344	375.44	334.09	332.21	281.57	330.8275	243.52	316.97	330.32	246.12	284.2325	268.92	325.05	339.72	311.23		Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington, Integrin, Nicotinic_Acetylcholine				Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington	Integrin	Nicotinic_Acetylcholine			
ANXA6_MOUSE	Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=3	76 kDa	0.41	P14824		50.728	48.469	54.821	50.082	47.102	50.2404	32.433	48.469	54.821	65.428	50.2878	67.276	76.445	51.517	47.755	60.7483	64.379	59.898	47.257	57.178																	
AT2A2_MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=1 SV=2	115 kDa	0.41	O55143		5.7428	6.0587	4.3856	5.8235	1.1215	4.6264	4.9142	6.0587	4.3856	2.3367	4.4238	8.5279	6.5258	12.122	2.449	7.4062	8.1492	7.1878	2.6749	6.004																	
PLCD1_MOUSE	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 OS=Mus musculus GN=Plcd1 PE=2 SV=2	86 kDa	0.41	Q8R3B1		0.9571	0	0	0	0	0.1914	0.9828	0	0	0	0.2457	0.9476	1.8645	1.0101	0	0.9555	2.4448	0	0	0.8149																	
ATPO_MOUSE	ATP synthase subunit O, mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1	23 kDa	0.42	Q9DB20		0	1.731	2.1928	0	1.1215	1.0091	0.9828	1.731	2.1928	2.3367	1.8108	1.8951	1.8645	3.0304	2.449	2.3098	5.7044	0.7987	0.8917	2.4649																	
ENPL_MOUSE	Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2	92 kDa	0.42	P08113		10.529	4.3276	12.061	9.3175	8.9719	9.0414	7.8627	4.3276	12.061	0	6.0628	10.423	5.5935	10.101	15.918	10.5089	6.5194	9.5838	6.2415	7.4482																	
H2A1F_MOUSE	Histone H2A type 1-F OS=Mus musculus GN=Hist1h2af PE=1 SV=3	14 kDa	0.42	Q8CGP5		28.714	33.755	30.7	31.447	52.71	35.4652	27.519	33.755	30.7	86.458	44.608	50.22	49.41	57.578	57.551	53.6898	45.636	36.738	56.174	46.1827																	
MIME_MOUSE	Mimecan OS=Mus musculus GN=Ogn PE=2 SV=1	34 kDa	0.42	Q62000		0.9571	0.8655	0	1.1647	2.243	1.0461	28.502	0.8655	0	3.5051	8.2182	0.9476	0.9323	2.0203	0	0.975	4.8895	3.1946	0.8917	2.9919																	
OAT_MOUSE	Ornithine aminotransferase, mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1	48 kDa	0.42	P29758		1.9143	1.731	2.1928	1.1647	2.243	1.8492	0	1.731	2.1928	0	0.981	1.8951	2.7968	1.0101	0	1.4255	0.8149	2.3959	3.5666	2.2591																	
OST48_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus GN=Ddost PE=1 SV=2	49 kDa	0.42	O54734		0.9571	0.8655	2.1928	0	0	0.8031	12.777	0.8655	2.1928	0	3.9588	3.7902	2.7968	0	0	1.6468	0	0.7987	0	0.2662																	
