Accession_Number	Identified Proteins (551)	Molecular Weight Aorta	Aorta ANOVA Test (P-Value	Classification		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN	Molecular Weight Coro	Coro ANOVA Test (P-Value		18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN	Entry	All_Pathways	Pathway	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle	Gene_names
IDHP_MOUSE	Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3	51 kDa	0.84			0.9571	4.3276	3.2892	1.1647	1.1215	2.172	0.9828	4.3276	3.2892	0	2.1499	0	3.729	2.0203	0	1.4373	0.8149	1.5973	1.7833	1.3985	51 kDa	0.035		23.713	26.663	35.014	26.27	21.524	26.6368	23.388	2.4984	6.0456	22.063	13.4988	16.913	22.439	8.4764	7.5774	13.8515	26.287	25.986	22.48	24.9177	P54071																	
IF4A1_MOUSE 	Eukaryotic initiation factor 4A-I OS=Mus musculus GN=Eif4a1 PE=1 SV=1	46 kDa	0.5			0.9571	1.731	1.0964	2.3294	1.1215	1.4471	0	1.731	1.0964	0	0.7069	0.9476	1.8645	2.0203	0	1.2081	0.8149	0.7987	4.4582	2.0239	46 kDa	0.14		0	0.8601	0	1.0946	0	0.3909	0	0	0	0	0	1.1276	0	1.0595	1.0825	0.8174	2.3897	0	1.0705	1.1534	P60843																	
ILK_MOUSE	Integrin-linked protein kinase OS=Mus musculus GN=Ilk PE=1 SV=2	51 kDa	0.05	Integrin		7.6571	5.1931	7.6749	2.3294	7.8504	6.141	0.9828	5.1931	7.6749	1.1684	3.7548	7.5804	7.458	10.101	8.5714	8.4277	2.4448	3.9932	5.3499	3.9293	51 kDa	0.2		2.6347	0	0	0	0	0.5269	0	1.2492	0	0	0.3123	1.1276	0.9349	1.0595	2.165	1.3218	0	0	0	0	O55222	Integrin	Integrin										Integrin					Ilk
IMB1_MOUSE	Importin subunit beta-1 OS=Mus musculus GN=Kpnb1 PE=1 SV=2	97 kDa	0.62			0.9571	0.8655	2.1928	1.1647	0	1.036	1.9657	0.8655	2.1928	0	1.256	0	0	1.0101	1.2245	0.5587	0.8149	0.7987	0.8917	0.8351	97 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	0	0	1.0595	0	0.2649	0	0	0	0	P70168																	
IMMT_MOUSE	Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1	84 kDa	0.82			0	0	1.0964	0	0	0.2193	0	0	1.0964	0	0.2741	2.8426	0	0	0	0.7107	0	0.7987	0	0.2662	84 kDa	0.054		4.3912	1.7202	1.7956	0	2.1524	2.0119	11.694	4.9968	15.718	1.1032	8.378	1.1276	0	4.2382	0	1.3415	3.1863	1.9989	2.1409	2.442	Q8CAQ8																	
IMPA1_MOUSE	Inositol monophosphatase 1 OS=Mus musculus GN=Impa1 PE=1 SV=1	30 kDa	0.059			3.8286	4.3276	4.3856	4.6588	4.4859	4.3373	0	4.3276	4.3856	2.3367	2.7625	1.8951	2.7968	0	2.449	1.7852	4.0746	3.9932	2.6749	3.5809	30 kDa	0.25		0.8782	0	0.8978	1.0946	0	0.5741	0	0	0	0	0	1.1276	0	0	0	0.2819	0	0.9995	1.0705	0.69	O55023																	
ITA8_MOUSE	Integrin alpha-8 OS=Mus musculus GN=Itga8 PE=1 SV=1	118 kDa	0.59	Integrin		4.7857	8.6552	4.3856	8.1528	4.4859	6.093	2.9485	8.6552	4.3856	4.6734	5.1657	6.6328	2.7968	4.0406	3.6735	4.2859	4.8895	4.7919	5.3499	5.0104	118 kDa	0.58		0	0	0.8978	0	0	0.1796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A2ARA8	Integrin	Integrin										Integrin					Itga8
ITB1_MOUSE	Integrin beta-1 OS=Mus musculus GN=Itgb1 PE=1 SV=1	88 kDa	0.16	Integrin		11.486	14.714	13.157	15.141	11.215	13.1426	5.897	14.714	13.157	11.684	11.363	13.266	8.3903	8.0811	11.02	10.1894	13.039	14.376	16.941	14.7853	88 kDa	0.039		7.0259	7.7407	4.489	5.4728	3.2286	5.5914	4.6776	9.9936	14.509	7.7221	9.2256	4.5102	1.8699	3.1786	4.3299	3.4722	7.1691	6.9962	5.3523	6.5059	P09055	Chemokine_Cytokine_Signaling, Integrin	Chemokine_Cytokine_Signaling			Chemokine_Cytokine_Signaling							Integrin					Itgb1
IVD_MOUSE	Isovaleryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Ivd PE=1 SV=1	46 kDa	0.86			0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0	0	0	0.2369	0	0	0	0	46 kDa	0.47		0.8782	0.8601	0.8978	0	0	0.5272	1.1694	0	0	1.1032	0.5682	3.3827	2.8048	0	0	1.5469	1.5931	0	0	0.531	Q9JHI5																	
K1C10_MOUSE	Keratin, type I cytoskeletal 10 OS=Mus musculus GN=Krt10 PE=1 SV=3	58 kDa	0.19			44.986	50.2	29.603	82.693	15.701	44.6366	43.245	50.2	29.603	84.122	51.7925	45.482	31.697	57.578	55.102	47.4648	20.373	17.57	18.725	18.8893	58 kDa	0.035		60.599	67.086	68.233	51.445	40.896	57.6518	61.979	34.978	45.946	55.158	49.5153	50.74	42.072	38.144	28.145	39.7753	30.27	27.985	42.818	33.691	P02535																	
K1C16_MOUSE	Keratin, type I cytoskeletal 16 OS=Mus musculus GN=Krt16 PE=1 SV=3	52 kDa	0.039			8.6143	6.9242	2.1928	5.8235	0	4.711	13.76	6.9242	2.1928	23.367	11.561	0.9476	0.9323	1.0101	2.449	1.3347	0	0	0.8917	0.2972	52 kDa	0.0005		14.93	20.642	21.547	12.04	5.3811	14.908	10.525	9.9936	13.3	17.651	12.8674	0	3.7398	1.0595	0	1.1998	0	0	0	0	Q9Z2K1																	
K1C17_MOUSE	Keratin, type I cytoskeletal 17 OS=Mus musculus GN=Krt17 PE=1 SV=3	48 kDa	0.18			2.8714	8.6552	1.0964	19.8	0	6.4846	5.897	8.6552	1.0964	7.0101	5.6647	6.6328	6.5258	14.142	14.694	10.4987	0.8149	0.7987	0	0.5379	48 kDa	0.02		3.513	20.642	16.16	8.7565	10.762	11.9667	12.863	11.243	15.718	15.444	13.817	10.148	8.4144	6.3573	4.3299	7.3124	3.1863	0.9995	4.2818	2.8225	Q9QWL7																	
K1C19_MOUSE	Keratin, type I cytoskeletal 19 OS=Mus musculus GN=Krt19 PE=1 SV=1	45 kDa	0.4			2.8714	10.386	1.0964	20.964	0	7.0636	5.897	10.386	1.0964	5.8418	5.8053	7.5804	0	15.152	15.918	9.6626	0	2.3959	0	0.7986	45 kDa	0.0044		3.513	16.342	15.263	8.7565	9.6859	10.7121	12.863	11.243	13.3	15.444	13.2125	10.148	8.4144	6.3573	0	6.2299	0	0.9995	0	0.3332	P19001																	
K1C42_MOUSE	Keratin, type I cytoskeletal 42 OS=Mus musculus GN=Krt42 PE=1 SV=1	50 kDa	0.26			0.9571	7.7897	0	23.294	0	6.4082	6.8798	7.7897	0	8.1785	5.712	8.5279	9.3226	12.122	14.694	11.1666	0.8149	2.3959	0	1.0703	50 kDa	0.044		6.1477	14.621	14.365	7.662	12.915	11.1421	8.1859	9.9936	14.509	15.444	12.0331	14.658	10.284	6.3573	4.3299	8.9073	3.9828	0	5.3523	3.1117	Q6IFX2																	
K22E_MOUSE	Keratin, type II cytoskeletal 2 epidermal OS=Mus musculus GN=Krt2 PE=1 SV=1	71 kDa	0.04			10.529	15.579	7.6749	20.964	0	10.9494	9.8283	15.579	7.6749	25.704	14.6966	2.8426	2.7968	8.0811	3.6735	4.3485	0.8149	0.7987	0	0.5379	71 kDa	0.0004		14.93	23.222	24.241	18.608	9.6859	18.1374	17.541	7.4952	13.3	17.651	13.9968	1.1276	2.8048	6.3573	0	2.5724	3.1863	0.9995	1.0705	1.7521	Q3TTY5																	
K22O_MOUSE	Keratin, type II cytoskeletal 2 oral OS=Mus musculus GN=Krt76 PE=2 SV=1	63 kDa	0.07			6.7	8.6552	3.2892	12.812	1.1215	6.5156	6.8798	8.6552	3.2892	12.852	7.9191	4.7377	0	5.0507	6.1225	3.9777	0	0.7987	0	0.2662	63 kDa	0.0043		12.295	13.761	12.569	5.4728	10.762	10.972	14.033	4.9968	9.6729	16.547	11.3124	1.1276	4.6747	5.2977	0	2.775	3.9828	2.9984	2.1409	3.0407	Q3UV17																	
K2C1B_MOUSE	Keratin, type II cytoskeletal 1b OS=Mus musculus GN=Krt77 PE=1 SV=1	61 kDa	0.078			0	20.773	0	34.941	0	11.1428	0	20.773	0	29.209	12.4955	25.584	20.51	29.294	31.837	26.8063	0	0	0	0	61 kDa	0.027		24.591	25.802	22.445	20.797	29.058	24.5386	24.558	0	22.973	24.269	17.95	0	23.373	26.489	0	12.4655	0	0	0	0	Q6IFZ6																	
K2C1_MOUSE	Keratin, type II cytoskeletal 1 OS=Mus musculus GN=Krt1 PE=1 SV=4	66 kDa	0.18			31.586	35.486	29.603	75.705	20.187	38.5134	29.485	35.486	29.603	50.239	36.2033	43.587	29.832	51.517	52.653	44.3973	16.298	18.369	22.291	18.986	66 kDa	0.13		41.277	44.724	38.606	32.837	51.658	41.8204	33.913	21.236	35.064	36.404	31.6543	52.995	41.137	48.739	33.557	44.107	33.456	33.982	44.959	37.4657	P04104																	
K2C5_MOUSE	Keratin, type II cytoskeletal 5 OS=Mus musculus GN=Krt5 PE=1 SV=1	62 kDa	0.016			23.929	34.621	32.892	54.741	23.551	33.9468	34.399	34.621	32.892	36.219	34.5328	39.797	39.155	48.487	58.776	46.5538	22.003	15.174	23.183	20.12	62 kDa	0.22		36.886	43.864	35.912	30.648	54.887	40.4394	46.776	33.729	36.273	43.023	39.9503	47.358	39.267	48.739	45.464	45.207	28.676	32.982	38.536	33.398	Q922U2																	
K2C75_MOUSE 	Keratin, type II cytoskeletal 75 OS=Mus musculus GN=Krt75 PE=1 SV=1	60 kDa	0.049			23.929	33.755	0	53.576	0	22.252	31.451	33.755	0	37.387	25.6483	39.797	39.155	48.487	57.551	46.2475	0	15.973	0	5.3243	60 kDa	0.6		34.251	38.704	32.321	30.648	51.658	37.5164	43.268	0	33.855	40.817	29.485	0	40.202	47.68	0	21.9705	28.676	32.982	37.466	33.0413	Q8BGZ7																	
K2C79_MOUSE	Keratin, type II cytoskeletal 79 OS=Mus musculus GN=Krt79 PE=2 SV=2	58 kDa	0.02			13.4	21.638	19.735	33.776	16.822	21.0742	17.691	21.638	19.735	25.704	21.192	27.479	20.51	33.335	33.061	28.5963	10.594	11.181	14.266	12.0137	58 kDa	0.23		20.2	24.942	19.752	19.702	22.6	21.4392	19.88	6.246	24.182	26.476	19.196	25.934	24.308	31.786	21.65	25.9195	16.728	16.991	20.339	18.0193	Q8VED5																	
K2C8_MOUSE	Keratin, type II cytoskeletal 8 OS=Mus musculus GN=Krt8 PE=1 SV=4	55 kDa	0.51			0	0	0	0	0	0	0	0	0	19.862	4.9655	5.6853	0	0	0	1.4213	0	0	0	0	55 kDa	0.057		13.174	11.181	10.774	0	2.1524	7.4563	5.847	0	8.4638	0	3.5777	0	0	0	0	0	0	0	0	0	P11679																	
KAD1_MOUSE	Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1	22 kDa	0.27			4.7857	6.0587	2.1928	3.4941	5.6074	4.4277	0	6.0587	2.1928	0	2.0629	2.8426	5.5935	7.071	4.898	5.1013	5.7044	0.7987	4.4582	3.6538	22 kDa	0.041		1.7565	1.7202	4.489	4.3783	5.3811	3.545	5.847	0	0	0	1.4618	3.3827	7.4795	5.2977	7.5774	5.9343	4.7794	4.9973	6.4227	5.3998	Q9R0Y5	De_Novo_Purine_Biosynthesis	De_Novo_Purine_Biosynthesis					De_Novo_Purine_Biosynthesis										Ak1
KAD2_MOUSE	Adenylate kinase 2, mitochondrial OS=Mus musculus GN=Ak2 PE=1 SV=5	26 kDa	0.48			0.9571	0	1.0964	0	3.3644	1.0836	0	0	1.0964	0	0.2741	0	0	0	1.2245	0.3061	0	0.7987	0	0.2662	26 kDa	0.77		0	0.8601	0	0	0	0.172	0	0	0	0	0	0	0.9349	0	0	0.2337	0.7966	0	0	0.2655	Q9WTP6	De_Novo_Purine_Biosynthesis	De_Novo_Purine_Biosynthesis					De_Novo_Purine_Biosynthesis										Ak2
KAD3_MOUSE	GTP:AMP phosphotransferase AK3, mitochondrial OS=Mus musculus GN=Ak3 PE=1 SV=3	25 kDa	0.64			0.9571	0.8655	1.0964	0	2.243	1.0324	0	0.8655	1.0964	0	0.4905	0.9476	0	0	1.2245	0.543	2.4448	0.7987	0	1.0812	25 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	0	0	1.0595	0	0.2649	0	0	0	0	Q9WTP7	De_Novo_Purine_Biosynthesis	De_Novo_Purine_Biosynthesis					De_Novo_Purine_Biosynthesis										Ak3 Ak3l Ak3l1 Akl3l
KCC2D_MOUSE	Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus GN=Camk2d PE=1 SV=1	56 kDa	0.31			1.9143	2.5966	0	0	1.1215	1.1265	0	2.5966	0	0	0.6492	0.9476	1.8645	3.0304	1.2245	1.7667	0.8149	0	0	0.2716	56 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	1.1276	0	0	0	0.2819	0	0	0	0	Q6PHZ2	Chemokine_Cytokine_Signaling	Chemokine_Cytokine_Signaling			Chemokine_Cytokine_Signaling												Camk2d Kiaa4163
KCRB_MOUSE	Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1	43 kDa	0.53			3.8286	7.7897	9.8677	4.6588	10.093	7.2476	1.9657	7.7897	9.8677	3.5051	5.7821	3.7902	5.5935	7.071	1.2245	4.4198	5.7044	6.3892	3.5666	5.2201	43 kDa	0.043		8.7824	5.1605	9.8759	6.5674	8.6097	7.7992	8.1859	3.7476	2.4182	5.5158	4.9669	11.276	7.4795	4.2382	7.5774	7.6428	8.7622	11.994	11.775	10.8437	Q04447																	
KGP1_MOUSE	cGMP-dependent protein kinase 1 OS=Mus musculus GN=Prkg1 PE=1 SV=1	76 kDa	0.8			0	1.731	0	0	0	0.3462	0	1.731	0	0	0.4328	0	0	0	0	0	0	0	0.8917	0.2972	76 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.165	0.5413	0	0	0	0	P0C605																	
KPYM_MOUSE	Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4	58 kDa	0.13			32.543	37.217	38.374	39.6	34.766	36.5	30.468	37.217	38.374	46.734	38.1983	43.587	40.087	38.385	42.857	41.229	28.522	31.147	38.341	32.67	58 kDa	0.36		20.2	13.761	13.467	12.04	20.448	15.9832	8.1859	16.24	4.8365	22.063	12.8314	22.551	18.699	16.953	18.402	19.1513	14.338	16.991	17.127	16.152	P52480	Glycolysis, Pyruvate_Metabolism	Glycolysis								Glycolysis					Pyruvate_Metabolism		Pkm Pk3 Pkm2 Pykm
KRT85_MOUSE	Keratin, type II cuticular Hb5 OS=Mus musculus GN=Krt85 PE=2 SV=2	56 kDa	0.062			7.6571	6.0587	6.5785	22.129	3.3644	9.1575	17.691	6.0587	6.5785	15.189	11.3793	18.003	10.255	19.193	25.714	18.2913	4.8895	5.5905	2.6749	4.385	56 kDa	0.86		17.565	11.181	15.263	8.7565	29.058	16.3647	18.711	11.243	14.509	23.166	16.9073	20.296	9.3494	14.834	17.32	15.4499	15.135	11.994	12.845	13.3247	Q9Z2T6																	
LAMB2_MOUSE	Laminin subunit beta-2 OS=Mus musculus GN=Lamb2 PE=2 SV=2	197 kDa	0.4	ECM		0.9571	0	1.0964	0	0	0.4107	1.9657	0	1.0964	0	0.7655	0	0	0	0	0	0	0	0.8917	0.2972	197 kDa	0.4		0.8782	1.7202	0.8978	1.0946	1.0762	1.1334	1.1694	0	4.8365	1.1032	1.7773	1.1276	0	0	0	0.2819	0	0.9995	2.1409	1.0468	Q61292	Integrin	Integrin										Integrin					Lamb2 Lams
LAMC1_MOUSE	Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=1 SV=2	177 kDa	0.33	ECM		0.9571	1.731	3.2892	0	1.1215	1.4198	0.9828	1.731	3.2892	0	1.5008	0.9476	0	0	0	0.2369	0.8149	1.5973	0	0.8041	177 kDa	0.74		2.6347	3.4403	0	0	1.0762	1.4302	0	1.2492	8.4638	1.1032	2.7041	2.2551	3.7398	2.1191	3.2475	2.8404	2.3897	1.9989	1.0705	1.8197	P02468																	
LASP1_MOUSE	LIM and SH3 domain protein 1 OS=Mus musculus GN=Lasp1 PE=1 SV=1	30 kDa	0.049			0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0	0	0	0	0	1.6298	2.3959	0	1.3419	30 kDa	0.79		0	0.8601	0.8978	0	0	0.3516	0	0	1.2091	0	0.3023	0	0	1.0595	0	0.2649	0	0	0	0	Q61792																	
LDHA_MOUSE	L-lactate dehydrogenase A chain OS=Mus musculus GN=Ldha PE=1 SV=3	36 kDa	0.18			4.7857	1.731	5.4821	3.4941	12.336	5.5658	0.9828	1.731	5.4821	5.8418	3.5094	1.8951	2.7968	1.0101	0	1.4255	7.3343	5.5905	3.5666	5.4971	36 kDa	0.011		1.7565	1.7202	0.8978	0	0	0.8749	0	0	0	0	0	0	0	0	0	0	4.7794	1.9989	1.0705	2.6163	P06151																	
LDHB_MOUSE	L-lactate dehydrogenase B chain OS=Mus musculus GN=Ldhb PE=1 SV=2	37 kDa	0.4			3.8286	0.8655	2.1928	1.1647	4.4859	2.5075	0.9828	0.8655	2.1928	3.5051	1.8866	1.8951	0.9323	1.0101	0	0.9594	2.4448	2.3959	0	1.6136	37 kDa	0.32		0.8782	0.8601	1.7956	0	1.0762	0.922	2.3388	0	0	0	0.5847	0	0.9349	0	1.0825	0.5044	3.1863	0.9995	1.0705	1.7521	P16125																	
LEG1_MOUSE	Galectin-1 OS=Mus musculus GN=Lgals1 PE=1 SV=3	15 kDa	0.015	ECM		7.6571	9.5207	6.5785	9.3175	15.701	9.755	6.8798	9.5207	6.5785	11.684	8.6658	15.161	13.984	13.132	13.469	13.9365	12.224	15.973	20.508	16.235	15 kDa	0.35		4.3912	2.5802	2.6934	5.4728	4.3049	3.8885	4.6776	4.9968	4.8365	0	3.6277	5.6378	3.7398	5.2977	5.4124	5.0219	4.7794	7.9957	4.2818	5.6856	P16045																	
LGUL_MOUSE	Lactoylglutathione lyase OS=Mus musculus GN=Glo1 PE=1 SV=3	21 kDa	0.23			2.8714	3.4621	3.2892	3.4941	3.3644	3.2962	0	3.4621	3.2892	0	1.6878	2.8426	3.729	2.0203	3.6735	3.0664	2.4448	1.5973	3.5666	2.5362	21 kDa	0.093		1.7565	1.7202	0.8978	1.0946	2.1524	1.5243	2.3388	0	0	0	0.5847	1.1276	3.7398	2.1191	2.165	2.2879	1.5931	0.9995	1.0705	1.221	Q9CPU0																	
LXN_MOUSE	Latexin OS=Mus musculus GN=Lxn PE=1 SV=2	25 kDa	0.1			1.9143	1.731	3.2892	1.1647	3.3644	2.2927	0	1.731	3.2892	1.1684	1.5472	0.9476	0.9323	0	0	0.47	2.4448	1.5973	0.8917	1.6446	25 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	2.2551	0	0	0	0.5638	0	0	0	0	P70202																	
M2OM_MOUSE	Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus GN=Slc25a11 PE=1 SV=3	34 kDa	0.54			0.9571	0	2.1928	0	0	0.63	0	0	2.1928	0	0.5482	0	0	0	0	0	0	0	0	0	34 kDa	0.028		7.0259	7.7407	8.0802	5.4728	4.3049	6.5249	1.1694	3.7476	2.4182	7.7221	3.7643	3.3827	4.6747	2.1191	4.3299	3.6266	2.3897	1.9989	2.1409	2.1765	Q9CR62																	
MCAT_MOUSE	Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus GN=Slc25a20 PE=1 SV=1	33 kDa	0.58			0.9571	0	0	0	0	0.1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33 kDa	0.0025		1.7565	1.7202	2.6934	1.0946	1.0762	1.6682	0	0	0	0	0	0	0	0	0	0	0.7966	0	2.1409	0.9792	Q9Z2Z6																	
MDHC_MOUSE	Malate dehydrogenase, cytoplasmic OS=Mus musculus GN=Mdh1 PE=1 SV=3	37 kDa	0.05			2.8714	3.4621	4.3856	5.8235	8.9719	5.1029	0.9828	3.4621	4.3856	1.1684	2.4997	4.7377	5.5935	7.071	1.2245	4.6567	8.9641	7.9865	6.2415	7.7307	37 kDa	0.022		3.513	6.0206	3.5912	4.3783	7.5335	5.0073	5.847	2.4984	4.8365	1.1032	3.5713	5.6378	2.8048	3.1786	3.2475	3.7172	6.3725	8.9951	8.5636	7.9771	P14152	TCA_Cycle	TCA_Cycle														TCA_Cycle	Mdh1 Mor2
MDHM_MOUSE	Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3	36 kDa	0.1			13.4	11.252	9.8677	9.3175	35.887	15.9448	4.9142	11.252	9.8677	11.684	9.4295	11.371	10.255	10.101	2.449	8.544	31.782	23.959	14.266	23.3357	36 kDa	0.0065		57.086	83.428	83.496	86.471	64.573	75.0108	53.793	32.479	47.155	57.364	47.6978	46.23	64.511	63.573	59.537	58.4628	70.098	77.958	82.425	76.827	P08249	Pyruvate_Metabolism	Pyruvate_Metabolism													Pyruvate_Metabolism		Mdh2 Mor1
MFGM_MOUSE	Lactadherin OS=Mus musculus GN=Mfge8 PE=1 SV=3	51 kDa	0.015	ECM		3.8286	4.3276	5.4821	4.6588	3.3644	4.3323	4.9142	4.3276	5.4821	7.0101	5.4335	2.8426	3.729	4.0406	4.898	3.8776	0.8149	3.9932	1.7833	2.1971	51 kDa	0.59		10.539	6.0206	6.2846	3.2837	2.1524	5.6561	2.3388	6.246	2.4182	3.3095	3.5781	5.6378	3.7398	5.2977	4.3299	4.7513	3.1863	5.9968	4.2818	4.4883	P21956																	
MIF_MOUSE	Macrophage migration inhibitory factor OS=Mus musculus GN=Mif PE=1 SV=2	13 kDa	0.11			0	0	0	1.1647	2.243	0.6815	0	0	0	0	0	0	0	0	0	0	0	1.5973	2.6749	1.4241	13 kDa	0.43		0	0	0	0	0	0	1.1694	0	0	0	0.2924	0	0	0	0	0	0	0	0	0	P34884																	
ML12B_MOUSE	Myosin regulatory light chain 12B OS=Mus musculus GN=Myl12b PE=1 SV=2	20 kDa	0.78			19.143	32.024	24.121	32.611	42.616	30.103	17.691	32.024	24.121	51.408	31.311	40.744	36.358	37.375	33.061	36.8845	37.486	16.772	38.341	30.8663	20 kDa	0.034		19.321	15.481	14.365	24.08	19.372	18.5238	23.388	4.9968	1.2091	4.4126	8.5016	16.913	19.634	23.31	31.392	22.8123	20.711	19.989	25.691	22.1303	Q3THE2																	
MLRV_MOUSE	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Mus musculus GN=Myl2 PE=1 SV=3	19 kDa	0.28			0.9571	0	0	0	0	0.1914	0	0	0	0	0	0	0	0	0	0	4.8895	0	0	1.6298	19 kDa	0.49		53.573	59.346	65.54	50.35	92.554	64.2726	81.859	28.732	42.319	34.198	46.777	41.72	65.446	55.096	62.784	56.2615	61.336	57.969	55.664	58.323	P51667																	
MMSA_MOUSE	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1	58 kDa	0.026			1.9143	2.5966	2.1928	2.3294	0	1.8066	0.9828	2.5966	2.1928	3.5051	2.3193	2.8426	0.9323	4.0406	4.898	3.1784	0	0	0	0	58 kDa	0.023		1.7565	0.8601	1.7956	0	0	0.8824	0	0	0	0	0	1.1276	1.8699	1.0595	3.2475	1.8261	0.7966	0	0	0.2655	Q9EQ20																	
MPCP_MOUSE	Phosphate carrier protein, mitochondrial OS=Mus musculus GN=Slc25a3 PE=1 SV=1	40 kDa	0.0018			5.7428	6.0587	4.3856	5.8235	5.6074	5.5236	0.9828	6.0587	4.3856	3.5051	3.7331	0	0	2.0203	0	0.5051	6.5194	4.7919	2.6749	4.6621	40 kDa	0.062		12.295	16.342	22.445	13.135	9.6859	14.7806	4.6776	7.4952	13.3	15.444	10.2292	11.276	7.4795	3.1786	0	5.4835	10.355	8.9951	7.4932	8.9478	Q8VEM8																	
MUC18_MOUSE	Cell surface glycoprotein MUC18 OS=Mus musculus GN=Mcam PE=1 SV=1	72 kDa	0.1			1.9143	1.731	2.1928	2.3294	0	1.6335	0.9828	1.731	2.1928	2.3367	1.8108	0.9476	0.9323	1.0101	0	0.7225	4.0746	3.1946	0.8917	2.7203	72 kDa	0.022		0.8782	1.7202	0.8978	1.0946	0	0.9182	0	0	0	0	0	0	0	0	0	0	2.3897	1.9989	0	1.4629	Q8R2Y2																	
MYL3_MOUSE	Myosin light chain 3 OS=Mus musculus GN=Myl3 PE=1 SV=4	22 kDa	0.34			7.6571	4.3276	2.1928	6.9882	8.9719	6.0275	5.897	4.3276	2.1928	9.3469	5.4411	15.161	6.5258	12.122	3.6735	9.3706	11.409	7.9865	7.1332	8.8429	22 kDa	0.026		54.451	65.366	97.861	80.998	83.945	76.5242	40.929	42.473	53.201	57.364	48.4918	78.929	77.6	70.99	57.372	71.2228	60.539	54.97	70.65	62.053	P09542																	
MYL6_MOUSE	Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3	17 kDa	0.017			40.2	35.486	25.217	38.435	66.167	41.101	32.433	35.486	25.217	60.755	38.4728	84.332	66.19	74.75	57.551	70.7058	51.34	39.932	32.099	41.1237	17 kDa	0.13		60.599	55.045	52.97	61.296	64.573	58.8966	42.099	62.46	43.528	27.579	43.9165	54.123	47.682	39.203	58.454	49.8655	46.997	62.966	66.368	58.777	Q60605																	
MYL9_MOUSE	Myosin regulatory light polypeptide 9 OS=Mus musculus GN=Myl9 PE=1 SV=3	20 kDa	0.22			27.757	38.948	31.796	36.105	54.953	37.9118	25.554	38.948	31.796	46.734	35.758	58.748	53.139	53.537	44.082	52.3765	49.71	19.966	57.957	42.5443	20 kDa	0.021		28.104	22.362	18.854	35.026	25.829	26.035	31.574	7.4952	3.6273	11.032	13.4321	27.061	26.178	34.965	44.382	33.1465	30.27	34.981	35.325	33.5253	Q9CQ19																	
