Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN		Entry	All_Pathways	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
AOC3_MOUSE	Membrane primary amine oxidase OS=Mus musculus GN=Aoc3 PE=2 SV=3	85 kDa	0.19	13.174	9.4609	8.0802	8.7565	8.6097	9.6163	9.3553	17.489	13.3	15.444	13.8971	10.148	7.4795	5.2977	14.072	9.2493	14.338	11.994	7.4932	11.2751		O70423															
ARP3_MOUSE	Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3	47 kDa	0.19	0.8782	0	0	0	0	0.1756	0	0	0	0	0	1.1276	0	0	2.165	0.8232	0	0	0	0		Q99JY9															
ARPC3_MOUSE	Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3	21 kDa	0.19	0.8782	0	0	0	0	0.1756	0	0	0	0	0	0	0.9349	2.1191	1.0825	1.0341	0	0	2.1409	0.7136		Q9JM76	"Chemokine_Cytokine_Signaling, Cytoskeleton, Integrin"			Chemokine_Cytokine_Signaling	Cytoskeleton						Integrin				
RSU1_MOUSE	Ras suppressor protein 1 OS=Mus musculus GN=Rsu1 PE=2 SV=3	32 kDa	0.19	0.8782	0	0	1.0946	0	0.3946	0	0	0	0	0	2.2551	0.9349	0	2.165	1.3388	0.7966	0	4.2818	1.6928		Q01730															
TCPB_MOUSE	T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4	57 kDa	0.19	1.7565	0	0	0	0	0.3513	0	0	0	0	0	1.1276	0	1.0595	2.165	1.088	0	0.9995	0	0.3332		P80314															
TCPQ_MOUSE	T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3	60 kDa	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0595	1.0825	0.5355	0	0	1.0705	0.3568		P42932															
ACTN1_MOUSE	Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1	103 kDa	0.2	104.51	88.588	85.291	102.89	87.173	93.6904	86.536	111.18	122.12	92.665	103.1253	101.48	84.144	112.31	124.49	105.606	149.75	124.93	94.2	122.96		Q7TPR4	Integrin										Integrin				
APOA4_MOUSE	Apolipoprotein A-IV OS=Mus musculus GN=Apoa4 PE=2 SV=3	45 kDa	0.2	0	0	0	0	1.0762	0.2152	0	0	0	0	0	0	0.9349	0	0	0.2337	0.7966	0	2.1409	0.9792		P06728															
COX41_MOUSE	"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Mus musculus GN=Cox4i1 PE=1 SV=2"	20 kDa	0.2	11.417	12.041	10.774	8.7565	16.143	11.8263	14.033	7.4952	8.4638	0	7.498	7.8929	9.3494	6.3573	3.2475	6.7118	8.7622	9.9946	5.3523	8.0364		P19783															
GELS_MOUSE	Gelsolin OS=Mus musculus GN=Gsn PE=1 SV=3	86 kDa	0.2	11.417	7.7407	7.1824	17.513	6.4573	10.0621	5.847	11.243	8.4638	9.9284	8.8706	10.148	4.6747	3.1786	5.4124	5.8534	5.576	6.9962	4.2818	5.618		P13020															
ILK_MOUSE	Integrin-linked protein kinase OS=Mus musculus GN=Ilk PE=1 SV=2	51 kDa	0.2	2.6347	0	0	0	0	0.5269	0	1.2492	0	0	0.3123	1.1276	0.9349	1.0595	2.165	1.3218	0	0	0	0		O55222	Integrin										Integrin				
PP1B_MOUSE	Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3	37 kDa	0.2	0.8782	0	0	1.0946	0	0.3946	0	0	0	0	0	0	0	0	0	0	0	0	0	0		P62141															
CAH1_MOUSE	Carbonic anhydrase 1 OS=Mus musculus GN=Ca1 PE=2 SV=4	28 kDa	0.21	0	2.5802	3.5912	2.1891	4.3049	2.5331	0	0	1.2091	0	0.3023	2.2551	6.5446	3.1786	0	2.9946	1.5931	0	3.2114	1.6015		P13634															
S10A1_MOUSE	Protein S100-A1 OS=Mus musculus GN=S100a1 PE=1 SV=2	11 kDa	0.21	0	0	0	0	0	0	1.1694	0	2.4182	0	0.8969	1.1276	0	0	0	0.2819	0	0	0	0		P56565															
K2C5_MOUSE	"Keratin, type II cytoskeletal 5 OS=Mus musculus GN=Krt5 PE=1 SV=1"	62 kDa	0.22	36.886	43.864	35.912	30.648	54.887	40.4394	46.776	33.729	36.273	43.023	39.9503	47.358	39.267	48.739	45.464	45.207	28.676	32.982	38.536	33.398		Q922U2															
ODP2_MOUSE	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2"	68 kDa	0.22	7.0259	4.3004	0.8978	1.0946	4.3049	3.5247	3.5082	2.4984	2.4182	1.1032	2.382	3.3827	4.6747	7.4168	5.4124	5.2217	4.7794	3.9978	3.2114	3.9962		Q8BMF4															
PTGIS_MOUSE	Prostacyclin synthase OS=Mus musculus GN=Ptgis PE=2 SV=1	57 kDa	0.22	14.93	6.8806	7.1824	1.0946	0	6.0175	5.847	2.4984	1.2091	0	2.3886	6.7654	3.7398	10.595	16.237	9.3343	4.7794	3.9978	3.2114	3.9962		O35074															
RS18_MOUSE	40S ribosomal protein S18 OS=Mus musculus GN=Rps18 PE=1 SV=3	18 kDa	0.22	0	0.8601	0.8978	0	1.0762	0.5668	0	0	0	0	0	0	0.9349	1.0595	1.0825	0.7692	0.7966	2.9984	0	1.265		P62270															
ATP5H_MOUSE	"ATP synthase subunit d, mitochondrial OS=Mus musculus GN=Atp5h PE=1 SV=3"	19 kDa	0.23	0.8782	6.8806	3.5912	2.1891	4.3049	3.5688	2.3388	0	3.6273	1.1032	1.7673	2.2551	2.8048	2.1191	0	1.7948	5.576	2.9984	3.2114	3.9286		Q9DCX2															
COF2_MOUSE	Cofilin-2 OS=Mus musculus GN=Cfl2 PE=1 SV=1	19 kDa	0.23	1.7565	1.7202	0.8978	1.0946	0	1.0938	2.3388	0	0	0	0.5847	2.2551	1.8699	1.0595	2.165	1.8374	1.5931	0.9995	0	0.8642		P45591	Cytoskeleton				Cytoskeleton										
CYC_MOUSE	"Cytochrome c, somatic OS=Mus musculus GN=Cycs PE=1 SV=2"	12 kDa	0.23	2.6347	1.7202	4.489	4.3783	4.3049	3.5054	7.0164	2.4984	3.6273	0	3.2855	0	0	0	3.2475	0.8119	1.5931	4.9973	2.1409	2.9104		P62897	ATP_Synthesis	ATP_Synthesis													
ECHM_MOUSE	"Enoyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Echs1 PE=1 SV=1"	31 kDa	0.23	1.7565	3.4403	3.5912	0	1.0762	1.9728	0	0	0	2.2063	0.5516	6.7654	4.6747	1.0595	1.0825	3.3955	3.1863	0.9995	2.1409	2.1089		Q8BH95															
HXK1_MOUSE	Hexokinase-1 OS=Mus musculus GN=Hk1 PE=1 SV=3	108 kDa	0.23	2.6347	2.5802	1.7956	5.4728	1.0762	2.7119	1.1694	1.2492	7.2547	3.3095	3.2457	0	0	1.0595	1.0825	0.5355	2.3897	2.9984	0	1.796		P17710	Glycolysis								Glycolysis						
K2C79_MOUSE	"Keratin, type II cytoskeletal 79 OS=Mus musculus GN=Krt79 PE=2 SV=2"	58 kDa	0.23	20.2	24.942	19.752	19.702	22.6	21.4392	19.88	6.246	24.182	26.476	19.196	25.934	24.308	31.786	21.65	25.9195	16.728	16.991	20.339	18.0193		Q8VED5															
TRFE_MOUSE	Serotransferrin OS=Mus musculus GN=Tf PE=1 SV=1	77 kDa	0.23	10.539	11.181	12.569	22.986	18.296	15.1142	12.863	12.492	20.555	13.238	14.787	10.148	12.154	5.2977	3.2475	7.7118	7.1691	4.9973	21.409	11.1918		Q921I1															
ARP2_MOUSE	Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1	45 kDa	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0	0	0.2655		P61161	Huntington									Huntington					
ARP5L_MOUSE	Actin-related protein 2/3 complex subunit 5-like protein OS=Mus musculus GN=Arpc5l PE=1 SV=1	17 kDa	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332		Q9D898	"Chemokine_Cytokine_Signaling, Huntington, Integrin"			Chemokine_Cytokine_Signaling						Huntington	Integrin				
DX39B_MOUSE	Spliceosome RNA helicase Ddx39b OS=Mus musculus GN=Ddx39b PE=1 SV=1	49 kDa	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332		Q9Z1N5															
H2B1P_MOUSE	Histone H2B type 1-P OS=Mus musculus GN=Hist1h2bp PE=1 SV=3	14 kDa	0.24	18.443	20.642	14.365	17.513	29.058	20.0042	26.896	28.732	24.182	5.5158	21.3315	28.189	24.308	22.25	31.392	26.5348	23.1	37.979	29.973	30.3507		Q8CGP2															
HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus GN=Hnrnpk PE=1 SV=1	51 kDa	0.24	0.8782	0	0	0	0	0.1756	0	0	0	0	0	1.1276	0	0	1.0825	0.5525	0.7966	0.9995	0	0.5987		P61979															
MYO1C_MOUSE	Unconventional myosin-Ic OS=Mus musculus GN=Myo1c PE=1 SV=2	122 kDa	0.24	0.8782	0.8601	0	1.0946	0	0.5666	1.1694	1.2492	3.6273	1.1032	1.7873	0	0	1.0595	1.0825	0.5355	2.3897	0	0	0.7966		Q9WTI7															
OAT_MOUSE	"Ornithine aminotransferase, mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1"	48 kDa	0.24	0.8782	0.8601	0.8978	0	1.0762	0.7425	1.1694	0	0	0	0.2924	0	0	0	2.165	0.5413	2.3897	0.9995	1.0705	1.4866		P29758															
RAC1_MOUSE	Ras-related C3 botulinum toxin substrate 1 OS=Mus musculus GN=Rac1 PE=1 SV=1	21 kDa	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0	0	0.2655		P63001	"Chemokine_Cytokine_Signaling, Cytoskeleton, Huntington, Integrin"			Chemokine_Cytokine_Signaling	Cytoskeleton					Huntington	Integrin				
ROA1_MOUSE	Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=2	34 kDa	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332		P49312															
ROAA_MOUSE	Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1	31 kDa	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0705	0.3568		Q99020															
RPN1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=2 SV=1	69 kDa	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332		Q91YQ5															
TGM2_MOUSE	Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus GN=Tgm2 PE=1 SV=4	77 kDa	0.24	23.713	15.481	11.671	14.229	20.448	17.1084	21.049	23.735	25.391	19.857	22.508	22.551	14.024	16.953	20.567	18.5238	21.507	19.989	17.127	19.541		P21981															
TMED9_MOUSE	Transmembrane emp24 domain-containing protein 9 OS=Mus musculus GN=Tmed9 PE=2 SV=2	27 kDa	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332		Q99KF1															
FUMH_MOUSE	"Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3"	54 kDa	0.25	7.0259	8.6008	8.0802	4.3783	7.5335	7.1237	10.525	2.4984	6.0456	3.3095	5.5946	10.148	8.4144	9.5359	2.165	7.5658	11.948	8.9951	9.6341	10.1924		P97807	TCA_Cycle														TCA_Cycle
IMPA1_MOUSE	Inositol monophosphatase 1 OS=Mus musculus GN=Impa1 PE=1 SV=1	30 kDa	0.25	0.8782	0	0.8978	1.0946	0	0.5741	0	0	0	0	0	1.1276	0	0	0	0.2819	0	0.9995	1.0705	0.69		O55023															
PROF1_MOUSE	Profilin-1 OS=Mus musculus GN=Pfn1 PE=1 SV=2	15 kDa	0.25	14.93	6.0206	10.774	9.8511	15.067	11.3285	11.694	18.738	10.882	0	10.3285	16.913	14.959	14.834	18.402	16.277	14.338	16.991	13.916	15.0817		P62962	Cytoskeleton				Cytoskeleton										
RAB1B_MOUSE	Ras-related protein Rab-1B OS=Mus musculus GN=Rab1b PE=1 SV=1	22 kDa	0.25	0	0	0	0	0	0	0	0	0	0	0	0	1.8699	0	4.3299	1.55	0	2.9984	0	0.9995		Q9D1G1															
RLA2_MOUSE	60S acidic ribosomal protein P2 OS=Mus musculus GN=Rplp2 PE=1 SV=3	12 kDa	0.25	0.8782	0.8601	0.8978	0	2.1524	0.9577	1.1694	2.4984	2.4182	0	1.5215	2.2551	1.8699	2.1191	2.165	2.1023	0.7966	2.9984	2.1409	1.9786		P99027															
ACTN4_MOUSE	Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1	105 kDa	0.26	64.99	53.325	54.766	73.336	52.734	59.8302	60.809	74.952	87.056	56.261	69.7695	64.271	53.291	66.751	74.692	64.7513	96.385	79.957	58.875	78.4057		P57780	Integrin										Integrin				
MYLK_MOUSE	"Myosin light chain kinase, smooth muscle OS=Mus musculus GN=Mylk PE=1 SV=3"	213 kDa	0.26	4.3912	4.3004	4.489	6.5674	3.2286	4.5953	2.3388	6.246	6.0456	5.5158	5.0366	10.148	2.8048	7.4168	8.6599	7.2574	5.576	5.9968	6.4227	5.9985		Q6PDN3															
TNNT2_MOUSE	"Troponin T, cardiac muscle OS=Mus musculus GN=Tnnt2 PE=1 SV=2"	36 kDa	0.26	1.7565	0.8601	0.8978	0	4.3049	1.5639	4.6776	1.2492	3.6273	2.2063	2.9401	0	1.8699	2.1191	0	0.9973	3.9828	2.9984	1.0705	2.6839		P50752															
ALDH2_MOUSE	"Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1"	57 kDa	0.27	26.347	24.942	22.445	27.364	9.6859	22.1568	22.219	11.243	16.928	19.857	17.5618	15.786	15.894	22.25	16.237	17.5418	13.542	15.991	14.986	14.8397		P47738															
EHD1_MOUSE	EH domain-containing protein 1 OS=Mus musculus GN=Ehd1 PE=1 SV=1	61 kDa	0.27	1.7565	0	0.8978	0	1.0762	0.7461	0	0	0	0	0	1.1276	0	0	3.2475	1.0938	0	0	0	0		Q9WVK4															
RS19_MOUSE	40S ribosomal protein S19 OS=Mus musculus GN=Rps19 PE=1 SV=3	16 kDa	0.27	0.8782	0.8601	0	0	0	0.3477	0	3.7476	1.2091	0	1.2392	0	0	0	0	0	0.7966	0.9995	1.0705	0.9555		Q9CZX8															
ETFD_MOUSE	"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 SV=1"	68 kDa	0.28	2.6347	2.5802	10.774	2.1891	4.3049	4.4966	4.6776	2.4984	0	0	1.794	2.2551	2.8048	4.2382	1.0825	2.5952	1.5931	0.9995	1.0705	1.221		Q921G7															
FABP4_MOUSE	"Fatty acid-binding protein, adipocyte OS=Mus musculus GN=Fabp4 PE=1 SV=3"	15 kDa	0.28	3.513	1.7202	5.3868	3.2837	10.762	4.9331	4.6776	2.4984	1.2091	0	2.0963	1.1276	1.8699	3.1786	2.165	2.0853	1.5931	4.9973	3.2114	3.2673		P04117															
MUP1_MOUSE	Major urinary protein 1 OS=Mus musculus GN=Mup1 PE=1 SV=1	21 kDa	0.28	0	0	0	0	0	0	0	0	0	0	0	0	1.8699	12.715	0	3.6462	0	0	0	0		P11588															
SRSF2_MOUSE	Serine/arginine-rich splicing factor 2 OS=Mus musculus GN=Srsf2 PE=1 SV=4	25 kDa	0.28	0.8782	0.8601	0.8978	0	0	0.5272	0	0	0	1.1032	0.2758	0	0	0	0	0	0.7966	0.9995	0	0.5987		Q62093															
THIL_MOUSE	"Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus GN=Acat1 PE=1 SV=1"	45 kDa	0.28	7.0259	6.8806	5.3868	3.2837	4.3049	5.3764	10.525	2.4984	3.6273	0	4.1627	6.7654	7.4795	8.4764	7.5774	7.5747	7.9657	5.9968	6.4227	6.7951		Q8QZT1															
ZYX_MOUSE	Zyxin OS=Mus musculus GN=Zyx PE=1 SV=2	61 kDa	0.28	2.6347	0.8601	0.8978	4.3783	2.1524	2.1847	2.3388	8.7444	2.4182	2.2063	3.9269	3.3827	1.8699	0	1.0825	1.5838	0	0.9995	2.1409	1.0468		Q62523															
PERI_MOUSE	Peripherin OS=Mus musculus GN=Prph PE=1 SV=2	54 kDa	0.29	0	22.362	0	0	0	4.4724	0	0	0	0	0	24.806	0	0	20.567	11.3433	0	0	0	0		P15331															
QCR2_MOUSE	"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus GN=Uqcrc2 PE=1 SV=1"	48 kDa	0.29	21.956	18.062	25.139	9.8511	13.991	17.7998	17.541	1.2492	8.4638	16.547	10.9503	14.658	24.308	16.953	10.825	16.686	10.355	12.993	11.775	11.7077		Q9DB77															
DESM_MOUSE	Desmin OS=Mus musculus GN=Des PE=1 SV=3	53 kDa	0.3	72.016	78.267	83.496	56.917	37.667	65.6726	32.743	37.476	42.319	83.84	49.0945	49.613	46.747	46.62	37.887	45.2168	58.946	48.974	52.452	53.4573		P31001															
LMNA_MOUSE	Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2	74 kDa	0.3	39.521	30.103	28.73	32.837	21.524	30.543	29.235	41.224	20.555	200.77	72.946	19.169	12.154	12.715	16.237	15.0688	24.694	30.983	21.409	25.6953		P48678															
ODO1_MOUSE	"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3"	116 kDa	0.3	4.3912	8.6008	7.1824	7.662	7.5335	7.074	4.6776	0	12.091	7.7221	6.1227	3.3827	2.8048	4.2382	2.165	3.1477	8.7622	1.9989	1.0705	3.9439		Q60597	TCA_Cycle														TCA_Cycle
CBR2_MOUSE	Carbonyl reductase [NADPH] 2 OS=Mus musculus GN=Cbr2 PE=1 SV=1	26 kDa	0.31	0.8782	0.8601	0.8978	0	0	0.5272	0	0	0	1.1032	0.2758	4.5102	0.9349	0	1.0825	1.6319	0	0.9995	0	0.3332		P08074															
EF1A1_MOUSE	Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3	50 kDa	0.31	2.6347	4.3004	5.3868	6.5674	4.3049	4.6388	3.5082	8.7444	3.6273	8.8253	6.1763	3.3827	1.8699	4.2382	3.2475	3.1846	3.9828	6.9962	1.0705	4.0165		P10126															
MYPC3_MOUSE	"Myosin-binding protein C, cardiac-type OS=Mus musculus GN=Mybpc3 PE=1 SV=1"	141 kDa	0.31	3.513	7.7407	6.2846	7.662	4.3049	5.901	4.6776	2.4984	7.2547	4.4126	4.7108	5.6378	7.4795	11.655	2.165	6.7343	5.576	2.9984	0	2.8581		O70468															
NDUB5_MOUSE	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Mus musculus GN=Ndufb5 PE=1 SV=1"	22 kDa	0.31	2.6347	1.7202	3.5912	0	2.1524	2.0197	3.5082	1.2492	0	0	1.1894	4.5102	0	2.1191	4.3299	2.7398	3.9828	2.9984	3.2114	3.3975		Q9CQH3															
SMTN_MOUSE	Smoothelin OS=Mus musculus GN=Smtn PE=2 SV=2	100 kDa	0.31	0	0	1.7956	0	0	0.3591	1.1694	1.2492	0	0	0.6047	1.1276	0.9349	0	2.165	1.0569	0	0	0	0		Q921U8															
CRYAB_MOUSE	Alpha-crystallin B chain OS=Mus musculus GN=Cryab PE=1 SV=2	20 kDa	0.32	0.8782	0.8601	3.5912	2.1891	3.2286	2.1494	3.5082	0	1.2091	0	1.1793	1.1276	2.8048	3.1786	1.0825	2.0484	1.5931	0	0	0.531		P23927															
LDHB_MOUSE	L-lactate dehydrogenase B chain OS=Mus musculus GN=Ldhb PE=1 SV=2	37 kDa	0.32	0.8782	0.8601	1.7956	0	1.0762	0.922	2.3388	0	0	0	0.5847	0	0.9349	0	1.0825	0.5044	3.1863	0.9995	1.0705	1.7521		P16125															
NLTP_MOUSE	Non-specific lipid-transfer protein OS=Mus musculus GN=Scp2 PE=1 SV=3	59 kDa	0.32	0	0	3.5912	1.0946	1.0762	1.1524	1.1694	0	0	0	0.2924	0	0	0	0	0	0.7966	0	1.0705	0.6224		P32020															
ARF4_MOUSE	ADP-ribosylation factor 4 OS=Mus musculus GN=Arf4 PE=1 SV=2	20 kDa	0.33	0	0	0	0	2.1524	0.4305	0	0	0	0	0	0	0	3.1786	2.165	1.3359	0	0	1.0705	0.3568		P61750	Huntington									Huntington					
COQ9_MOUSE	"Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Mus musculus GN=Coq9 PE=1 SV=1"	35 kDa	0.33	0	2.5802	6.2846	1.0946	0	1.9919	0	0	1.2091	1.1032	0.5781	0	0	0	0	0	1.5931	0	1.0705	0.8879		Q8K1Z0															
NDUAA_MOUSE	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Mus musculus GN=Ndufa10 PE=1 SV=1"	41 kDa	0.34	0.8782	0.8601	0.8978	1.0946	1.0762	0.9614	1.1694	1.2492	3.6273	0	1.5115	0	0.9349	2.1191	1.0825	1.0341	3.9828	1.9989	1.0705	2.3507		Q99LC3															
PDLI7_MOUSE	PDZ and LIM domain protein 7 OS=Mus musculus GN=Pdlim7 PE=2 SV=1	50 kDa	0.34	4.3912	1.7202	1.7956	1.0946	1.0762	2.0156	0	1.2492	1.2091	1.1032	0.8904	3.3827	0	2.1191	5.4124	2.7286	1.5931	1.9989	0	1.1973		Q3TJD7															
UGPA_MOUSE	UTP--glucose-1-phosphate uridylyltransferase OS=Mus musculus GN=Ugp2 PE=2 SV=3	57 kDa	0.34	0.8782	0.8601	0	0	0	0.3477	0	0	0	0	0	0	0	0	0	0	0.7966	0	0	0.2655		Q91ZJ5															
AT1B1_MOUSE	Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus GN=Atp1b1 PE=1 SV=1	35 kDa	0.35	4.3912	1.7202	0.8978	1.0946	1.0762	1.836	2.3388	0	0	0	0.5847	0	0	3.1786	0	0.7947	2.3897	0.9995	3.2114	2.2002		P14094															
FIBB_MOUSE	Fibrinogen beta chain OS=Mus musculus GN=Fgb PE=2 SV=1	55 kDa	0.35	2.6347	0	0	0	1.0762	0.7422	1.1694	0	0	0	0.2924	1.1276	0.9349	2.1191	1.0825	1.316	1.5931	0	3.2114	1.6015		Q8K0E8	Blood_Coagulation		Blood_Coagulation												
HNRPF_MOUSE	Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus GN=Hnrnpf PE=1 SV=3	46 kDa	0.35	0.8782	0.8601	0	0	0	0.3477	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332		Q9Z2X1															
LEG1_MOUSE	Galectin-1 OS=Mus musculus GN=Lgals1 PE=1 SV=3	15 kDa	0.35	4.3912	2.5802	2.6934	5.4728	4.3049	3.8885	4.6776	4.9968	4.8365	0	3.6277	5.6378	3.7398	5.2977	5.4124	5.0219	4.7794	7.9957	4.2818	5.6856		P16045															
KCRM_MOUSE	Creatine kinase M-type OS=Mus musculus GN=Ckm PE=1 SV=1	43 kDa	0.36	4.3912	6.0206	9.8759	3.2837	8.6097	6.4362	15.202	2.4984	2.4182	2.2063	5.5812	7.8929	14.024	11.655	7.5774	10.2873	7.1691	4.9973	6.4227	6.1964		P07310															
KPYM_MOUSE	Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4	58 kDa	0.36	20.2	13.761	13.467	12.04	20.448	15.9832	8.1859	16.24	4.8365	22.063	12.8314	22.551	18.699	16.953	18.402	19.1513	14.338	16.991	17.127	16.152		P52480	"Glycolysis, Pyruvate_Metabolism"								Glycolysis					Pyruvate_Metabolism	
CAH2_MOUSE	Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4	29 kDa	0.37	0.8782	5.1605	5.3868	1.0946	3.2286	3.1497	0	1.2492	2.4182	1.1032	1.1927	2.2551	8.4144	5.2977	1.0825	4.2624	2.3897	0	5.3523	2.5807		P00920															
FRIL1_MOUSE	Ferritin light chain 1 OS=Mus musculus GN=Ftl1 PE=1 SV=2	21 kDa	0.37	0	0	1.7956	0	1.0762	0.5744	0	0	0	0	0	0	0.9349	0	0	0.2337	0	0	0	0		P29391															
ACO13_MOUSE	Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1	15 kDa	0.38	3.513	6.8806	4.489	6.5674	4.3049	5.151	4.6776	2.4984	6.0456	0	3.3054	5.6378	3.7398	3.1786	3.2475	3.9509	3.9828	2.9984	3.2114	3.3975		Q9CQR4															
APOE_MOUSE	Apolipoprotein E OS=Mus musculus GN=Apoe PE=1 SV=2	36 kDa	0.38	1.7565	0.8601	0	0	0	0.5233	0	0	0	0	0	0	0	0	0	0	0	0	1.0705	0.3568		P08226															
PEBP1_MOUSE	Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3	21 kDa	0.38	0	0.8601	0.8978	1.0946	4.3049	1.4315	3.5082	0	0	0	0.8771	0	1.8699	2.1191	1.0825	1.2679	3.1863	2.9984	2.1409	2.7752		P70296															
ATPD_MOUSE	"ATP synthase subunit delta, mitochondrial OS=Mus musculus GN=Atp5d PE=1 SV=1"	18 kDa	0.39	6.1477	6.0206	8.0802	5.4728	4.3049	6.0052	8.1859	6.246	7.2547	1.1032	5.6975	5.6378	5.6096	2.1191	2.165	3.8829	3.1863	4.9973	4.2818	4.1551		Q9D3D9															
ECHA_MOUSE	"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1"	83 kDa	0.39	51.816	49.885	43.992	51.445	61.344	51.6964	56.132	39.975	90.684	52.952	59.9358	52.995	58.901	49.799	43.3	51.2488	54.963	35.981	36.395	42.4463		Q8BMS1															
H2AZ_MOUSE	Histone H2A.Z OS=Mus musculus GN=H2afz PE=1 SV=2	14 kDa	0.39	15.808	9.4609	0	16.418	0	8.3374	19.88	18.738	15.718	0	13.584	23.679	0	0	22.732	11.6028	15.931	23.987	22.48	20.7993		P0C0S6															
NDUA8_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus GN=Ndufa8 PE=1 SV=3	20 kDa	0.39	2.6347	2.5802	2.6934	2.1891	3.2286	2.6652	3.5082	0	2.4182	0	1.4816	1.1276	4.6747	1.0595	3.2475	2.5273	4.7794	2.9984	2.1409	3.3062		Q9DCJ5															
